epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,8185.4,1.26358,0.64982,0.00229,0.91927,0.77368,0.82144,0.62927,1.04494,0.42037,0.00199,0.007756,0.007756,0.007756
70,10903.6,1.27106,0.64685,0.00219,0.91565,0.77883,0.82201,0.62937,1.04293,0.42025,0.00199,0.007723,0.007723,0.007723
71,13567.2,1.26855,0.63642,0.00218,0.91645,0.77582,0.82184,0.62919,1.04109,0.42096,0.002,0.00769,0.00769,0.00769
72,16028.4,1.27055,0.64155,0.00228,0.91748,0.77571,0.82142,0.62913,1.03892,0.42207,0.00199,0.007657,0.007657,0.007657
73,18449.9,1.28139,0.65344,0.00216,0.91672,0.7741,0.81904,0.62731,1.03758,0.42361,0.00199,0.007624,0.007624,0.007624
74,20991.7,1.28671,0.64489,0.00225,0.91895,0.77223,0.81826,0.62679,1.03633,0.42456,0.00199,0.007591,0.007591,0.007591
75,23488,1.26354,0.64243,0.00219,0.91813,0.77264,0.8196,0.62766,1.03473,0.42472,0.00199,0.007558,0.007558,0.007558
76,26011.1,1.26922,0.64108,0.00227,0.91664,0.77402,0.81971,0.62718,1.03422,0.42589,0.002,0.007525,0.007525,0.007525
77,28545.5,1.28651,0.6534,0.0022,0.92028,0.7701,0.81833,0.62632,1.03419,0.42679,0.00199,0.007492,0.007492,0.007492
78,31048.7,1.28172,0.64045,0.00217,0.91713,0.76901,0.81779,0.62582,1.03308,0.42762,0.00199,0.007459,0.007459,0.007459
79,33556.2,1.27606,0.63336,0.00232,0.91512,0.77142,0.81703,0.62543,1.0313,0.42866,0.00199,0.007426,0.007426,0.007426
80,35947.2,1.27352,0.64388,0.00227,0.91366,0.77066,0.81671,0.62469,1.03086,0.42933,0.00199,0.007393,0.007393,0.007393
81,38409.7,1.26386,0.6403,0.00221,0.9139,0.76852,0.8158,0.62391,1.03085,0.42967,0.00199,0.00736,0.00736,0.00736
82,40912.3,1.26459,0.63148,0.00222,0.91436,0.76893,0.81611,0.6242,1.03058,0.43099,0.002,0.007327,0.007327,0.007327
83,43406.3,1.27974,0.63255,0.0022,0.91395,0.77024,0.81622,0.62468,1.02926,0.43059,0.00199,0.007294,0.007294,0.007294
84,45922.4,1.29778,0.65084,0.00232,0.91464,0.76961,0.81544,0.62415,1.02985,0.43035,0.002,0.007261,0.007261,0.007261
85,48292.8,1.27822,0.63495,0.0022,0.91552,0.7685,0.81662,0.62491,1.02983,0.43002,0.002,0.007228,0.007228,0.007228
86,50747.7,1.28234,0.63187,0.0022,0.91247,0.76986,0.81734,0.62548,1.02911,0.42885,0.002,0.007195,0.007195,0.007195
87,53123.5,1.29786,0.65737,0.00232,0.92014,0.76564,0.81828,0.62573,1.02838,0.42968,0.00199,0.007162,0.007162,0.007162
88,55535.3,1.26558,0.62215,0.00224,0.91619,0.77101,0.81974,0.62698,1.02752,0.42912,0.00199,0.007129,0.007129,0.007129
89,57929.2,1.29003,0.63921,0.00229,0.91462,0.77078,0.81765,0.6251,1.02723,0.42822,0.00199,0.007096,0.007096,0.007096
90,60229.9,1.266,0.62247,0.00225,0.91391,0.77135,0.81827,0.62532,1.02716,0.4265,0.00199,0.007063,0.007063,0.007063
91,62566.3,1.26912,0.64359,0.00232,0.91178,0.77738,0.81843,0.62546,1.02631,0.42609,0.00199,0.00703,0.00703,0.00703
92,64870.6,1.26861,0.62895,0.00221,0.91269,0.77732,0.81779,0.62518,1.02602,0.42516,0.00199,0.006997,0.006997,0.006997
93,67253.9,1.26253,0.6169,0.00228,0.91552,0.77647,0.81796,0.62557,1.02601,0.42475,0.00199,0.006964,0.006964,0.006964
94,69553.1,1.25397,0.62872,0.00216,0.90991,0.77897,0.81663,0.62459,1.02542,0.42487,0.00199,0.006931,0.006931,0.006931
95,71861.8,1.26454,0.62274,0.00225,0.90633,0.77934,0.81489,0.62328,1.02517,0.42533,0.00199,0.006898,0.006898,0.006898
96,74330.7,1.25884,0.61899,0.00214,0.90761,0.77744,0.81515,0.62357,1.0253,0.42549,0.00199,0.006865,0.006865,0.006865
97,76654.4,1.27096,0.61223,0.00215,0.90276,0.77995,0.81445,0.62297,1.0251,0.42533,0.002,0.006832,0.006832,0.006832
98,79047.3,1.26629,0.61295,0.00215,0.9051,0.77837,0.81389,0.6227,1.02464,0.42428,0.00199,0.006799,0.006799,0.006799
99,81443.9,1.26011,0.6176,0.00217,0.90605,0.77947,0.81532,0.62395,1.02358,0.42448,0.00199,0.006766,0.006766,0.006766
100,83775.5,1.25904,0.60484,0.00223,0.90126,0.78174,0.81347,0.62278,1.0234,0.42427,0.00199,0.006733,0.006733,0.006733
101,86636.7,1.26806,0.61588,0.00213,0.90017,0.77997,0.81421,0.62306,1.02291,0.42531,0.00199,0.0067,0.0067,0.0067
102,89212.3,1.25854,0.62149,0.00228,0.89716,0.78186,0.81277,0.62176,1.02207,0.42471,0.00199,0.006667,0.006667,0.006667
103,91681.5,1.27093,0.62171,0.0022,0.90197,0.77944,0.81298,0.62183,1.02153,0.42523,0.00199,0.006634,0.006634,0.006634
104,94142.4,1.25864,0.61558,0.00221,0.90202,0.78079,0.8115,0.62049,1.02084,0.42516,0.00199,0.006601,0.006601,0.006601
105,96539.1,1.25906,0.60452,0.00219,0.90408,0.77861,0.81322,0.62152,1.02136,0.42382,0.00199,0.006568,0.006568,0.006568
106,98928.5,1.26033,0.62128,0.00219,0.90733,0.77707,0.81336,0.62186,1.02164,0.42258,0.00199,0.006535,0.006535,0.006535
107,101393,1.26842,0.63047,0.00228,0.91055,0.77615,0.81507,0.62287,1.02097,0.42249,0.00199,0.006502,0.006502,0.006502
108,103760,1.25618,0.60764,0.00205,0.91288,0.77477,0.81502,0.62261,1.01991,0.42267,0.00199,0.006469,0.006469,0.006469
109,106235,1.26791,0.6235,0.00223,0.91,0.77789,0.81502,0.6226,1.02016,0.42271,0.00199,0.006436,0.006436,0.006436
110,108583,1.26567,0.63019,0.00216,0.90822,0.78015,0.81459,0.6224,1.02018,0.42283,0.00199,0.006403,0.006403,0.006403
111,111052,1.26458,0.61876,0.0023,0.90859,0.77896,0.81548,0.6237,1.02062,0.42168,0.00199,0.00637,0.00637,0.00637
112,113386,1.26071,0.60395,0.00206,0.90775,0.78061,0.8161,0.62431,1.02097,0.42121,0.00199,0.006337,0.006337,0.006337
113,115824,1.26454,0.61189,0.00214,0.91233,0.77636,0.81768,0.62533,1.02053,0.42069,0.00199,0.006304,0.006304,0.006304
114,118195,1.26425,0.62016,0.00221,0.91643,0.77504,0.81986,0.62718,1.0213,0.41976,0.00198,0.006271,0.006271,0.006271
115,120605,1.24033,0.58742,0.00214,0.91396,0.77733,0.81905,0.62625,1.02154,0.4198,0.00199,0.006238,0.006238,0.006238
